OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
5641,11187.0,Bonney Avenue - 21,BONNEY AV,Sandgate Rd,504557.6,6966227.2,-27.427371,153.046112,CLAYFIELD,2 - Intermediate,Y,Easy,Easy,Easy,2018-07-12T12:00:00+10:00,"{""coordinates"": [153.04611814873812, -27.42735846239284], ""type"": ""Point""}","-27.42735846239284, 153.04611814873812"
5642,11188.0,Hutton Street - 21,SANDGATE RD,Hutton St,504648.5,6966155.2,-27.42802,153.047032,CLAYFIELD,2 - Intermediate,N,Medium,Easy,Medium,,"{""coordinates"": [153.04703811633894, -27.428008174196343], ""type"": ""Point""}","-27.428008174196343, 153.04703811633894"
5643,11189.0,Hutton Street - 21,SANDGATE RD,,504631.9,6966140.4,-27.428155,153.046864,ALBION,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.04687021915964, -27.428141845748655], ""type"": ""Point""}","-27.428141845748655, 153.04687021915964"
5644,11190.0,Camden Street - 20,SANDGATE RD,Camden St,504330.8,6966097.8,-27.42854,153.043818,ALBION,2 - Intermediate,Y,Easy,Medium,Easy,2018-07-18T12:00:00+10:00,"{""coordinates"": [153.04382393207229, -27.428527430882806], ""type"": ""Point""}","-27.428527430882806, 153.04382393207229"
5645,11191.0,Camden Street - 20,SANDGATE RD,,504266.1,6966064.3,-27.428843,153.043164,ALBION,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.04316943230467, -27.42883007440908], ""type"": ""Point""}","-27.42883007440908, 153.04316943230467"
5646,11192.0,Albion Central - 19,ABBOTSFORD RD,Lever St,504129.4,6965982.4,-27.429582,153.041781,ALBION,3 - Regular with seat,Y,Easy,Easy,Easy,2016-05-24T12:00:00+10:00,"{""coordinates"": [153.04178661261568, -27.429569892154948], ""type"": ""Point""}","-27.429569892154948, 153.04178661261568"
5647,11193.0,Albion Central - 19,SANDGATE RD,Lever St,504126.0,6965908.0,-27.430254,153.041746,ALBION,3 - Regular with seat,Y,Easy,Easy,Easy,2017-11-01T11:00:00+10:00,"{""coordinates"": [153.04175246457592, -27.430241588562257], ""type"": ""Point""}","-27.430241588562257, 153.04175246457592"
5648,11194.0,Cremorne Rd,GYMPIE RD,,503152.0,6968693.7,-27.405107,153.031884,KEDRON,1 - Premium,Y,Easy,Easy,Easy,2023-03-20T11:00:00+10:00,"{""coordinates"": [153.03189041984763, -27.405094735390964], ""type"": ""Point""}","-27.405094735390964, 153.03189041984763"
5649,11195.0,Old Cleveland Rd at Barbeque St,OLD CLEVELAND RD,,513042.9,6957632.0,-27.504915,153.132055,BELMONT,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.13206157699923, -27.504900847641085], ""type"": ""Point""}","-27.504900847641085, 153.13206157699923"
5650,11196.0,Crosby Road - 18,CROSBY RD,Dover St,504320.1,6965702.7,-27.432107,153.043711,ALBION,3 - Regular with seat,Y,Easy,Easy,Easy,2016-06-21T12:00:00+10:00,"{""coordinates"": [153.04371707678496, -27.432094442782848], ""type"": ""Point""}","-27.432094442782848, 153.04371707678496"
5651,11197.0,Albion Road - 18,CROSBY RD,Sandgate Rd,504297.4,6965692.1,-27.432203,153.043482,ALBION,2 - Intermediate,Y,Easy,Easy,Hard,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04348743434036, -27.43219021177973], ""type"": ""Point""}","-27.43219021177973, 153.04348743434036"
5652,11198.0,Brothers - 19,CROSBY RD,Fox St,504507.0,6965661.0,-27.432483,153.045602,ALBION,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.04560829656316, -27.43247030618047], ""type"": ""Point""}","-27.43247030618047, 153.04560829656316"
5653,11199.0,Brothers - 19,CROSBY RD,Fox St,504483.5,6965677.9,-27.43233,153.045365,ALBION,4 - Regular,Y,Easy,Medium,Easy,,"{""coordinates"": [153.0453704590332, -27.432317809949954], ""type"": ""Point""}","-27.432317809949954, 153.0453704590332"
5654,11201.0,Frodsham Street - 19,FRODSHAM ST,Ellen St,504269.1,6965819.8,-27.43105,153.043195,ALBION,2 - Intermediate,Y,Easy,Medium,Easy,2019-11-18T11:00:00+10:00,"{""coordinates"": [153.0432006444302, -27.431037420502776], ""type"": ""Point""}","-27.431037420502776, 153.0432006444302"
5655,11202.0,Kenna Street - 46,KENNA ST,,500799.5,6971541.0,-27.379406,153.008085,CHERMSIDE WEST,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.00809160186319, -27.37939246194257], ""type"": ""Point""}","-27.37939246194257, 153.00809160186319"
5656,11203.0,Baildon St opp Story Bge Htl,WHARF ST,,503558.2,6961667.7,-27.468537,153.036014,KANGAROO POINT,3 - Regular with seat,Y,Easy,Easy,Hard,2017-04-21T12:00:00+10:00,"{""coordinates"": [153.03601995251412, -27.468524679640126], ""type"": ""Point""}","-27.468524679640126, 153.03601995251412"
5657,11205.0,Merry St,BULIMBA ST,,505606.5,6964353.8,-27.444281,153.056733,BULIMBA,4 - Regular,Y,Easy,Easy,Easy,2017-01-30T11:00:00+10:00,"{""coordinates"": [153.05673917151947, -27.444267659192075], ""type"": ""Point""}","-27.444267659192075, 153.05673917151947"
5658,11206.0,Merry St,BULIMBA ST,Merry St,505617.9,6964353.6,-27.444282,153.056849,BULIMBA,2 - Intermediate,Y,Easy,Easy,Hard,2016-07-18T12:00:00+10:00,"{""coordinates"": [153.0568545309465, -27.444269417791293], ""type"": ""Point""}","-27.444269417791293, 153.0568545309465"
5659,11208.0,East Street - 19,LUTWYCHE RD,East St,503311.8,6966653.4,-27.423527,153.033506,LUTWYCHE,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-08T12:00:00+10:00,"{""coordinates"": [153.03351244744883, -27.423514307676424], ""type"": ""Point""}","-27.423514307676424, 153.03351244744883"
5660,11209.0,Richlands Station 'B',GARDEN RD,Richlands Station,494810.4,6947598.2,-27.59555,152.947414,RICHLANDS,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [152.94741966690506, -27.595537532672836], ""type"": ""Point""}","-27.595537532672836, 152.94741966690506"
5661,11210.0,Richlands Station 'A' Outbound,GARDEN RD,Richlands Station,494820.1,6947583.5,-27.595683,152.947512,RICHLANDS,Busway Station,N,Hard,Hard,Hard,,"{""coordinates"": [152.94751789400087, -27.595670278869182], ""type"": ""Point""}","-27.595670278869182, 152.94751789400087"
5662,11211.0,Lions - Pine Rd Richlands northern side,PINE RD,Garden Rd,495072.0,6947807.5,-27.593661,152.950065,RICHLANDS,4 - Regular,Y,Easy,Easy,Easy,2018-11-23T11:00:00+10:00,"{""coordinates"": [152.9500713222132, -27.59364898810447], ""type"": ""Point""}","-27.59364898810447, 152.9500713222132"
5663,11212.0,Kenna Street - 46,KENNA ST,Whites Rd,500842.9,6971512.8,-27.37966,153.008524,CHERMSIDE WEST,2 - Intermediate,Y,Easy,Hard,Hard,2017-05-16T12:00:00+10:00,"{""coordinates"": [153.00853053694416, -27.37964702847368], ""type"": ""Point""}","-27.37964702847368, 153.00853053694416"
5664,11213.0,Lions - Pine Rd Richlands southern side,PINE RD,Garden Rd,495081.0,6947789.3,-27.593826,152.950156,RICHLANDS,4 - Regular,Y,Easy,Medium,Medium,2018-11-23T11:00:00+10:00,"{""coordinates"": [152.95016244352868, -27.593813327304193], ""type"": ""Point""}","-27.593813327304193, 152.95016244352868"
5665,11214.0,Lutwyche Lutwyche Road,LUTWYCHE RD,Chalk St,503359.6,6966816.2,-27.422057,153.03399,LUTWYCHE,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-08T12:00:00+10:00,"{""coordinates"": [153.03399560349516, -27.422044424266936], ""type"": ""Point""}","-27.422044424266936, 153.03399560349516"
5666,11215.0,East Street - 19-18,LUTWYCHE RD,,503333.1,6966648.9,-27.423568,153.033722,LUTWYCHE,3 - Regular with seat,Y,Easy,Easy,Medium,2022-10-28T12:00:00+10:00,"{""coordinates"": [153.03372795779813, -27.423554881955308], ""type"": ""Point""}","-27.423554881955308, 153.03372795779813"
5667,11218.0,Windsor Park,ROBLANE ST,Thondley,503212.5,6965884.0,-27.430474,153.032503,WINDSOR,1 - Premium,Y,Easy,Medium,Easy,2017-05-02T12:00:00+10:00,"{""coordinates"": [153.03250983497924, -27.430460722280987], ""type"": ""Point""}","-27.430460722280987, 153.03250983497924"
5668,11219.0,Chalk Street - 20,CHALK ST,,503511.8,6966878.1,-27.421499,153.035529,LUTWYCHE,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.03553525396552, -27.42148520420276], ""type"": ""Point""}","-27.42148520420276, 153.03553525396552"
5669,11220.0,Albion Road - 18,ABBOTSFORD RD,Anstey St,504150.3,6965802.9,-27.431203,153.041993,ALBION,3 - Regular with seat,Y,Hard,Easy,Easy,,"{""coordinates"": [153.04199868821686, -27.431190361523885], ""type"": ""Point""}","-27.431190361523885, 153.04199868821686"
5670,11221.0,Albion Road - 18,SANDGATE RD,Frodsham St,504206.5,6965749.9,-27.431682,153.042561,ALBION,4 - Regular,Y,Easy,Hard,Medium,2023-03-03T11:00:00+10:00,"{""coordinates"": [153.04256750193971, -27.431668675070103], ""type"": ""Point""}","-27.431668675070103, 153.04256750193971"
5671,11222.0,Collingwood Street - 17,SANDGATE RD,Collingwood St,504257.5,6965646.4,-27.432615,153.043078,ALBION,2 - Intermediate,Y,Easy,Easy,Easy,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04308388356463, -27.432602918323735], ""type"": ""Point""}","-27.432602918323735, 153.04308388356463"
5672,11223.0,Collingwood Street - 17,SANDGATE RD,Collingwood St,504255.0,6965579.1,-27.433223,153.043053,ALBION,3 - Regular with seat,Y,Easy,Easy,Easy,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04305882395843, -27.433210512891588], ""type"": ""Point""}","-27.433210512891588, 153.04305882395843"
5673,11225.0,Bus Depot - 17/18,ABBOTSFORD RD,Hadwen La,504119.6,6965307.1,-27.435679,153.041684,BOWEN HILLS,2 - Intermediate,N,Hard,Hard,Hard,,"{""coordinates"": [153.04168974720812, -27.43566655421925], ""type"": ""Point""}","-27.43566655421925, 153.04168974720812"
5674,11226.0,Bus Depot - 17,ABBOTSFORD RD,Burrows St,504106.2,6965227.2,-27.436401,153.041548,BOWEN HILLS,2 - Intermediate,Y,Easy,Easy,Medium,2023-02-21T11:00:00+10:00,"{""coordinates"": [153.04155443088743, -27.436387934378047], ""type"": ""Point""}","-27.436387934378047, 153.04155443088743"
5675,11229.0,Greg Chappell Street – 16’,SANDGATE RD,Bogan St,504332.8,6965343.2,-27.435353,153.04384,ALBION,3 - Regular with seat,Y,Easy,Easy,Easy,2017-06-06T12:00:00+10:00,"{""coordinates"": [153.04384685802464, -27.43533998060613], ""type"": ""Point""}","-27.43533998060613, 153.04384685802464"
5676,11230.0,Greg Chappell Street – 16’,SANDGATE RD,Pedder St,504302.6,6965274.8,-27.43597,153.043535,ALBION,3 - Regular with seat,Y,Easy,Easy,Medium,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04354152594064, -27.43595759370796], ""type"": ""Point""}","-27.43595759370796, 153.04354152594064"
5677,11231.0,Yowoggera Park - 15,SANDGATE RD,Beaumont St,504234.2,6965089.8,-27.43764,153.042844,ALBION,2 - Intermediate,Y,Easy,Easy,Medium,2017-03-10T11:00:00+10:00,"{""coordinates"": [153.04285007138787, -27.437627993659287], ""type"": ""Point""}","-27.437627993659287, 153.04285007138787"
5678,11232.0,Wavell Heights High Oval Stop,TELOPIA AVE,,503744.9,6969105.8,-27.401386,153.03788,WAVELL HEIGHTS,1 - Premium,N,Hard,Hard,Hard,,"{""coordinates"": [153.03788669077574, -27.4013727666978], ""type"": ""Point""}","-27.4013727666978, 153.03788669077574"
